,titles,subtitles,links
71,,,https://www.thesun.co.uk/sport/21905731/man-utd-ramos-transfer-new-owner/
72,CHERRY KICK,,https://www.thesun.co.uk/sport/21900454/bournemouth-brawl-horror-tackles-dennis-wise/
73,OO LA SPA,Georgina Rodriguez lets slip the weirdest place she and Ronaldo have had sex,https://www.thesun.co.uk/sport/21883225/georgina-rodriguez-slip-weirdest-place-cristiano-ronaldo-sex/
74,,,https://www.thesun.co.uk/sport/21888487/sunderland-star-jack-diamond-charged/
75,BLOODY MEL!,Chelsea star Melanie Leupolz forced off with injury as blood streams down face,https://www.thesun.co.uk/sport/21891891/chelsea-melanie-leupolz-injury-blood-ref/
76,,,https://www.thesun.co.uk/sport/21896857/daryl-horgan-twins-stevenage/
77,TONY ADAMS,Arsenal might be eight points ahead in Prem.. but it's STILL Man City's to lose,https://www.thesun.co.uk/sport/21865964/tony-adams-arsenal-man-city-premier-league-title/
78,,,https://www.thesun.co.uk/sport/21831425/troy-deeney-declan-rice-souness-england/
79,,,https://www.thesun.co.uk/sport/21903959/karren-brady-russia-football-ukraine/
80,LADY IN RED,,https://www.thesun.co.uk/sport/21891236/alan-shearer-hollie-red-leather/
81,TWERKISH DELIGHT,Stunning Arsenal Wag and Twerk Queen shows off incredible dance routine,https://www.thesun.co.uk/sport/21860677/arsenal-twerk-queen-strips-down-dance-routine/
82,RON THE RIGHT NOTE,,https://www.thesun.co.uk/sport/21848527/cristiano-ronaldo-serenade-georgina-rodriguez-marriage-man-utd/
